,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," Zone 2"," Zone 3"," Zone 4"," Zone 5"," Zone 2"," Zone 3"," Zone 4"," Zone 5",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
03/08/2020 00:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 01:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 01:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 02:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 02:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 03:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 03:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 04:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 04:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 05:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 05:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 06:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 06:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 07:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 07:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 08:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 08:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020 09:00,14,2.3,5,10,0,0,4.4,5,5,3,1,6.6666666667,5.4166666667,2,3.5,6,3,0
03/08/2020 09:30,70,11.7,15,55,0,0,15.3,15,18,25,12,20.625,14.2777777778,12.930952381,13.2777777778,55,13,2
03/08/2020 10:00,93,15.5,20,73,0,0,14.0,13,18,38,24,15.3055555556,15.3583333333,13.5615079365,11.8722222222,79,13,2
03/08/2020 10:30,87,14.5,9,77,1,0,14.0,12,20,33,22,11.9444444444,17.9583333333,12.755952381,13.1805555556,67,19,1
03/08/2020 11:00,128,21.3,21,107,0,0,14.8,25,25,40,38,14.1597222222,15.2888888889,15.3227272727,14.5361111111,94,31,3
03/08/2020 11:30,139,23.2,21,118,0,0,15.5,24,38,39,38,17.4375,16.8842592593,14.6064153439,13.1022727273,91,44,4
03/08/2020 12:00,185,30.8,53,132,0,0,16.9,39,44,54,48,17.6481481481,17.8333333333,16.1148388648,16.1603535354,112,64,9
03/08/2020 12:30,187,31.2,43,144,0,0,16.6,37,44,49,57,17.2158730159,19.5712962963,15.0265123765,14.6415343915,118,67,2
