,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
03/23/2020 00:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 01:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 01:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 02:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 02:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 03:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 03:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 04:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 04:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 05:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 05:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 06:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 06:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 07:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 07:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 08:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 08:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 09:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 09:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 10:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 10:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 11:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 11:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 12:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 12:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 13:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 13:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 14:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 14:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 15:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 15:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 16:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 16:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 17:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 17:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 18:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 18:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020 19:00,50,8.3,14,36,0,0,5.4,14,10,13,13,4.7638888889,7.6875,4.4603174603,4.5092592593,38,11,1
03/23/2020 19:30,123,20.5,38,85,0,0,14.2,39,25,25,34,15.876984127,16.3944444444,12.5932539683,11.9214285714,102,21,0
03/23/2020 20:00,86,14.3,13,73,0,0,13.8,19,11,20,36,13.9333333333,14.8333333333,13.3222222222,13.0482323232,57,29,0
03/23/2020 20:30,69,11.5,20,49,0,0,14.9,19,13,17,20,17.1944444444,20.75,11.0277777778,10.7472222222,59,5,5
03/23/2020 21:00,61,10.2,15,46,0,0,11.5,20,6,15,20,17.6444444444,7.5833333333,10.1611111111,10.4916666667,56,1,4
03/23/2020 21:30,56,9.3,17,38,1,0,11.9,17,11,9,19,12.35,14.125,10.9166666667,10.3222222222,53,0,3
03/23/2020 22:00,51,8.5,14,37,0,0,10.0,16,11,7,17,10.8833333333,14.6111111111,7,7.4375,51,0,0
03/23/2020 22:30,32,5.3,9,23,0,0,6.2,10,3,6,13,8.8055555556,2.5833333333,6.3888888889,7.05,30,0,2
03/23/2020 23:00,27,4.5,4,22,1,0,9.3,7,3,5,12,16.9166666667,5.4166666667,4.5833333333,10.3333333333,24,1,2
03/23/2020 23:30,17,2.8,5,12,0,0,6.2,5,4,2,6,9.9166666667,8,2.1666666667,4.5555555556,17,0,0
03/24/2020 00:00,12,2.0,4,8,0,0,5.8,6,2,1,3,13.3333333333,3.5,1.5,5,12,0,0
03/24/2020 00:30,9,1.5,3,6,0,0,2.4,4,2,0,3,4.9166666667,2.1666666667,0,2.6666666667,9,0,0
03/24/2020 01:00,12,2.0,1,11,0,0,2.8,4,0,4,4,3.5,0,4.0833333333,3.75,12,0,0
03/24/2020 01:30,8,1.3,1,7,0,0,2.1,2,1,2,3,1.8333333333,1.3333333333,2.3333333333,3,8,0,0
03/24/2020 02:00,2,0.3,0,2,0,0,0.6,1,0,1,0,1.3333333333,0,1,0,1,0,1
03/24/2020 02:30,8,1.3,0,8,0,0,2.7,2,1,2,3,2,0.8333333333,2.8333333333,5,8,0,0
03/24/2020 03:00,3,0.5,1,2,0,0,1.2,0,1,1,1,0,1.3333333333,1.8333333333,1.6666666667,2,1,0
03/24/2020 03:30,7,1.2,0,7,0,0,2.2,2,0,2,3,1.5833333333,0,3,4.3333333333,7,0,0
03/24/2020 04:00,9,1.5,3,6,0,0,2.9,3,2,0,4,1.6666666667,4.3333333333,0,5.6666666667,9,0,0
03/24/2020 04:30,4,0.7,0,4,0,0,0.4,0,0,0,4,0,0,0,1.4166666667,4,0,0
03/24/2020 05:00,4,0.7,3,1,0,0,1.0,1,3,0,0,1.3333333333,2.75,0,0,4,0,0
03/24/2020 05:30,3,0.5,2,1,0,0,0.9,2,0,0,1,2.1666666667,0,0,1.5,3,0,0
03/24/2020 06:00,7,1.2,0,7,0,0,1.7,2,0,3,2,1.8333333333,0,2.3333333333,2.6666666667,7,0,0
03/24/2020 06:30,13,2.2,4,9,0,0,3.1,3,3,2,5,2.6666666667,2.5833333333,3,4.1111111111,13,0,0
03/24/2020 07:00,11,1.8,1,10,0,0,2.6,1,0,2,8,1.5,0,2.5,6.3888888889,9,1,1
03/24/2020 07:30,33,5.5,8,25,0,0,9.2,10,2,10,11,16.1388888889,2.8333333333,7.0416666667,10.8055555556,33,0,0
03/24/2020 08:00,57,9.5,9,48,0,0,10.8,15,11,10,21,12.7876984127,12.9166666667,8.3166666667,9.0388888889,50,3,4
03/24/2020 08:30,79,13.2,12,67,0,0,13.6,21,9,24,25,14.9666666667,12.8194444444,13.4722222222,13.0888888889,58,16,5
03/24/2020 09:00,105,17.5,13,92,0,0,14.3,28,25,23,29,14.8944444444,15.5079365079,13.5476190476,13.1,70,23,12
03/24/2020 09:30,107,17.8,18,89,0,0,13.4,32,19,25,31,14.5829365079,12.1388888889,13.0119047619,13.9246031746,70,25,12
03/24/2020 10:00,107,17.8,23,84,0,0,15.0,28,15,28,36,15.6928571429,14.3333333333,15.9468253968,14.0507575758,62,39,6
03/24/2020 10:30,114,19.0,23,91,0,0,14.8,34,15,30,35,15.658531746,15.4027777778,14.7880952381,13.2481481481,90,21,4
03/24/2020 11:00,139,23.2,29,110,0,0,15.0,38,31,29,41,17.3158730159,13.9892857143,14.15,14.5481962482,96,39,4
