,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
1/29/20 0:30,0,0,0,0,0,0,0,0,0
1/29/20 1:00,0,0,0,0,0,0,0,0,0
1/29/20 1:30,0,0,0,0,0,0,0,0,0
1/29/20 2:00,0,0,0,0,0,0,0,0,0
1/29/20 2:30,0,0,0,0,0,0,0,0,0
1/29/20 3:00,0,0,0,0,0,0,0,0,0
1/29/20 3:30,0,0,0,0,0,0,0,0,0
1/29/20 4:00,0,0,0,0,0,0,0,0,0
1/29/20 4:30,0,0,0,0,0,0,0,0,0
1/29/20 5:00,0,0,0,0,0,0,0,0,0
1/29/20 5:30,0,0,0,0,0,0,0,0,0
1/29/20 6:00,0,0,0,0,0,0,0,0,0
1/29/20 6:30,0,0,0,0,0,0,0,0,0
1/29/20 7:00,0,0,0,0,0,0,0,0,0
1/29/20 7:30,0,0,0,0,0,0,0,0,0
1/29/20 8:00,0,0,0,0,0,0,0,0,0
1/29/20 8:30,0,0,0,0,0,0,0,0,0
1/29/20 9:00,0,0,0,0,0,0,0,0,0
1/29/20 9:30,0,0,0,0,0,0,0,0,0
1/29/20 10:00,0,0,0,0,0,0,0,0,0
1/29/20 10:30,0,0,0,0,0,0,0,0,0
1/29/20 11:00,0,0,0,0,0,0,0,0,0
1/29/20 11:30,0,0,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0,0,0
1/29/20 12:30,0,0,0,0,0,0,0,0,0
1/29/20 13:00,0,0,0,0,0,0,0,0,0
1/29/20 13:30,0,0,0,0,0,0,0,0,0
1/29/20 14:00,0,0,0,0,0,0,0,0,0
1/29/20 14:30,0,0,0,0,0,0,0,0,0
1/29/20 15:00,0,0,0,0,0,0,0,0,0
1/29/20 15:30,0,0,0,0,0,0,0,0,0
1/29/20 16:00,0,0,0,0,0,0,0,0,0
1/29/20 16:30,0,0,0,0,0,0,0,0,0
1/29/20 17:00,0,0,0,0,0,0,0,0,0
1/29/20 17:30,0,0,0,0,0,0,0,0,0
1/29/20 18:00,0,0,0,0,0,0,0,0,0
1/29/20 18:30,0,0,0,0,0,0,0,0,0
1/29/20 19:00,0,0,0,0,0,0,0,0,0
1/29/20 19:30,0,0,0,0,0,0,0,0,0
1/29/20 20:00,12,5,5,5,5,2,2,0,0
1/29/20 20:30,13,5,10,5,10,3,5,0,0
1/29/20 21:00,9,2,12,2,12,3,8,2,2
1/29/20 21:30,3,1,13,2,14,0,8,0,2
1/29/20 22:00,3,0,13,2,16,1,9,0,2
1/29/20 22:30,3,0,13,2,18,1,10,0,2
1/29/20 23:00,5,0,13,1,19,3,13,1,3
1/29/20 23:30,2,1,14,0,19,0,13,1,4
1/30/20 0:00,0,0,14,0,19,0,13,0,4
1/30/20 0:30,2,0,14,0,19,1,14,1,5
1/30/20 1:00,0,0,14,0,19,0,14,0,5
1/30/20 1:30,0,0,14,0,19,0,14,0,5
1/30/20 2:00,0,0,14,0,19,0,14,0,5
1/30/20 2:30,0,0,14,0,19,0,14,0,5
1/30/20 3:00,0,0,14,0,19,0,14,0,5
1/30/20 3:30,0,0,14,0,19,0,14,0,5
1/30/20 4:00,1,1,15,0,19,0,14,0,5
1/30/20 4:30,0,0,15,0,19,0,14,0,5
1/30/20 5:00,0,0,15,0,19,0,14,0,5
1/30/20 5:30,1,1,16,0,19,0,14,0,5
1/30/20 6:00,1,0,16,1,20,0,14,0,5
1/30/20 6:30,3,1,17,1,21,0,14,1,6
1/30/20 7:00,1,0,17,0,21,1,15,0,6
1/30/20 7:30,4,0,17,2,23,1,16,1,7
1/30/20 8:00,0,0,17,0,23,0,16,0,7
1/30/20 8:30,0,0,17,0,23,0,16,0,7
1/30/20 9:00,0,0,17,0,23,0,16,0,7
1/30/20 9:30,0,0,17,0,23,0,16,0,7
1/30/20 10:00,1,1,18,0,23,0,16,0,7
1/30/20 10:30,0,0,18,0,23,0,16,0,7
1/30/20 11:00,0,0,18,0,23,0,16,0,7
1/30/20 11:30,0,0,18,0,23,0,16,0,7
1/30/20 12:00,1,0,18,1,24,0,16,0,7
1/30/20 12:30,4,2,20,2,26,0,16,0,7
1/30/20 13:00,0,0,20,0,26,0,16,0,7
1/30/20 13:30,0,0,20,0,26,0,16,0,7
1/30/20 14:00,1,0,20,0,26,0,16,1,8
1/30/20 14:30,0,0,20,0,26,0,16,0,8
1/30/20 15:00,4,0,20,0,26,2,18,2,10
1/30/20 15:30,0,0,20,0,26,0,18,0,10
1/30/20 16:00,1,0,20,0,26,0,18,1,11
1/30/20 16:30,2,0,20,1,27,1,19,0,11
1/30/20 17:00,8,1,21,2,29,3,22,2,13
1/30/20 17:30,1,1,22,0,29,0,22,0,13
1/30/20 18:00,1,0,22,1,30,0,22,0,13
1/30/20 18:30,1,0,22,0,30,1,23,0,13
1/30/20 19:00,21,9,31,9,39,2,25,1,14
1/30/20 19:30,10,6,37,4,43,0,25,0,14
1/30/20 20:00,18,7,44,5,48,4,29,2,16
1/30/20 20:30,11,5,49,4,52,1,30,1,17
1/30/20 21:00,7,4,53,2,54,1,31,0,17
1/30/20 21:30,5,1,54,3,57,1,32,0,17
1/30/20 22:00,3,2,56,1,58,0,32,0,17
