,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
07/09/2020 00:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 01:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 01:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 02:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 02:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 03:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 03:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 04:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 04:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 05:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 05:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 06:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 06:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 07:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 07:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 08:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 08:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 09:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 09:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 10:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 10:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 11:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 11:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 12:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 12:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 13:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 13:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 14:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 14:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 15:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 15:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 16:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 16:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 17:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 17:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 18:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020 18:30,73,12.2,18,55,0,0,6.9,17,14,21,21,7.9285714286,6.0972222222,6.5833333333,6.8833333333,61,10,2
07/09/2020 19:00,229,38.2,81,148,0,0,15.0,61,40,60,68,15.7798238798,14.9722222222,14.5617845118,14.6481351981,192,31,6
07/09/2020 19:30,174,29.0,58,115,1,0,13.6,45,38,39,52,13.6152777778,13.9,13.1175505051,13.5849206349,147,24,3
07/09/2020 20:00,183,30.5,45,138,0,0,14.8,55,26,50,52,17.78003848,13.0703703704,13.3131613757,15.0648148148,142,34,7
07/09/2020 20:30,133,22.2,36,97,0,0,15.1,40,24,24,45,14.0863095238,21.2592592593,11.3166666667,13.8708333333,111,20,2
07/09/2020 21:00,116,19.3,26,89,1,0,14.9,35,20,27,34,17.0018518519,16.8194444444,12.7301587302,12.9017857143,96,20,0
07/09/2020 21:30,99,16.5,26,73,0,0,12.9,28,11,22,38,16.3888888889,11.8055555556,11.3388888889,12.1123015873,77,11,11
07/09/2020 22:00,87,14.5,19,68,0,0,13.0,26,13,21,27,16.9904761905,10.3333333333,11.5972222222,13.2138888889,79,2,6
07/09/2020 22:30,62,10.3,18,44,0,0,10.6,16,12,14,20,12.6333333333,7.7944444444,10.4305555556,11.5194444444,56,3,3
07/09/2020 23:00,47,7.8,7,40,0,0,13.0,12,7,9,19,17.8611111111,11.5833333333,7.7916666667,14.6472222222,46,1,1
07/09/2020 23:30,47,7.8,12,35,0,0,8.1,17,3,5,22,14.9666666667,1.3333333333,7.1666666667,9.0666666667,44,0,3
07/10/2020 00:00,29,4.8,7,22,0,0,7.8,7,5,7,10,7.8611111111,10.8888888889,5.7777777778,6.5277777778,27,2,0
07/10/2020 00:30,23,3.8,7,16,0,0,6.9,9,3,1,10,12.5555555556,6,1.1666666667,7.7666666667,23,0,0
07/10/2020 01:00,11,1.8,4,7,0,0,3.1,3,2,1,5,3.5833333333,2.1666666667,1,5.5833333333,10,1,0
07/10/2020 01:30,8,1.3,3,5,0,0,2.5,1,3,2,2,1.3333333333,4.1666666667,1.8333333333,2.8333333333,7,1,0
07/10/2020 02:00,8,1.3,2,6,0,0,4.8,2,3,1,2,7,9.3333333333,1.3333333333,1.3333333333,8,0,0
07/10/2020 02:30,4,0.7,2,2,0,0,1.5,2,0,0,2,2.3333333333,0,0,3.5,4,0,0
07/10/2020 03:00,3,0.5,0,3,0,0,0.7,0,1,1,1,0,0.3333333333,1,1.5,3,0,0
07/10/2020 03:30,7,1.2,4,3,0,0,2.5,3,0,1,3,4.3333333333,0,1.3333333333,4.3333333333,7,0,0
