,," 04 Eb Through #1",Run Total," 04 Eb Through #3",Run Total," 07 Eb Left Turn #1",Run Total," 07 Eb Left Turn #2",Run Total
6/26/20 0:30,0,0,0,0,0,0,0,0,0
6/26/20 1:00,0,0,0,0,0,0,0,0,0
6/26/20 1:30,0,0,0,0,0,0,0,0,0
6/26/20 2:00,0,0,0,0,0,0,0,0,0
6/26/20 2:30,0,0,0,0,0,0,0,0,0
6/26/20 3:00,0,0,0,0,0,0,0,0,0
6/26/20 3:30,0,0,0,0,0,0,0,0,0
6/26/20 4:00,0,0,0,0,0,0,0,0,0
6/26/20 4:30,0,0,0,0,0,0,0,0,0
6/26/20 5:00,0,0,0,0,0,0,0,0,0
6/26/20 5:30,0,0,0,0,0,0,0,0,0
6/26/20 6:00,0,0,0,0,0,0,0,0,0
6/26/20 6:30,0,0,0,0,0,0,0,0,0
6/26/20 7:00,0,0,0,0,0,0,0,0,0
6/26/20 7:30,0,0,0,0,0,0,0,0,0
6/26/20 8:00,0,0,0,0,0,0,0,0,0
6/26/20 8:30,0,0,0,0,0,0,0,0,0
6/26/20 9:00,0,0,0,0,0,0,0,0,0
6/26/20 9:30,0,0,0,0,0,0,0,0,0
6/26/20 10:00,0,0,0,0,0,0,0,0,0
6/26/20 10:30,0,0,0,0,0,0,0,0,0
6/26/20 11:00,0,0,0,0,0,0,0,0,0
6/26/20 11:30,0,0,0,0,0,0,0,0,0
6/26/20,0,0,0,0,0,0,0,0,0
6/26/20 12:30,0,0,0,0,0,0,0,0,0
6/26/20 13:00,0,0,0,0,0,0,0,0,0
6/26/20 13:30,0,0,0,0,0,0,0,0,0
6/26/20 14:00,0,0,0,0,0,0,0,0,0
6/26/20 14:30,0,0,0,0,0,0,0,0,0
6/26/20 15:00,0,0,0,0,0,0,0,0,0
6/26/20 15:30,0,0,0,0,0,0,0,0,0
6/26/20 16:00,0,0,0,0,0,0,0,0,0
6/26/20 16:30,0,0,0,0,0,0,0,0,0
6/26/20 17:00,0,0,0,0,0,0,0,0,0
6/26/20 17:30,0,0,0,0,0,0,0,0,0
6/26/20 18:00,0,0,0,0,0,0,0,0,0
6/26/20 18:30,0,0,0,0,0,0,0,0,0
6/26/20 19:00,0,0,0,0,0,0,0,0,0
6/26/20 19:30,0,0,0,0,0,0,0,0,0
6/26/20 20:00,0,0,0,0,0,0,0,0,0
6/26/20 20:30,0,0,0,0,0,0,0,0,0
6/26/20 21:00,0,0,0,0,0,0,0,0,0
6/26/20 21:30,0,0,0,0,0,0,0,0,0
6/26/20 22:00,0,0,0,0,0,0,0,0,0
