,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
05/20/2020 00:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 01:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 01:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 02:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 02:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 03:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 03:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 04:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 04:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 05:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 05:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 06:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 06:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 07:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 07:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 08:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 08:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 09:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 09:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
05/20/2020 10:00,113,18.8,16,97,0,0,14.2,24,21,35,33,14.4638888889,15.1111111111,16.3251322751,10.9363095238,78,29,6
05/20/2020 10:30,103,17.2,15,88,0,0,16.3,31,7,32,33,22.3666666667,13.75,14.6859848485,14.5208333333,77,23,3
05/20/2020 11:00,142,23.7,26,116,0,0,14.2,39,31,31,41,16.0453703704,13.4944444444,14.4458333333,13.0111111111,105,31,6
05/20/2020 11:30,142,23.7,29,113,0,0,16.2,35,19,41,47,18.1396464646,16.8125,14.6563492063,15.0339285714,115,24,3
05/20/2020 12:00,141,23.5,22,119,0,0,16.7,30,24,50,37,20.0722222222,19.7650793651,14.4925925926,12.359457672,106,31,4
05/20/2020 12:30,172,28.7,30,142,0,0,15.5,44,34,31,63,15.5656746032,17.3063492063,13.4345238095,15.5428321678,130,38,4
05/20/2020 13:00,174,29.0,43,131,0,0,16.2,46,42,39,47,18.1486111111,18.5788359788,15.0227513228,13.1854497354,130,42,2
05/20/2020 13:30,177,29.5,32,145,0,0,15.1,43,33,53,48,15.1458333333,17.5569444444,14.0627705628,13.8191798942,144,27,6
05/20/2020 14:00,194,32.3,44,150,0,0,15.4,55,43,39,57,17.696969697,17.0147486772,13.668452381,13.3666426166,159,35,0
