,," 04 Eb Through #1",Run Total," 04 Eb Through #3",Run Total," 07 Eb Left Turn #1",Run Total," 07 Eb Left Turn #2",Run Total
7/27/20 0:30,0,0,0,0,0,0,0,0,0
7/27/20 1:00,0,0,0,0,0,0,0,0,0
7/27/20 1:30,0,0,0,0,0,0,0,0,0
7/27/20 2:00,0,0,0,0,0,0,0,0,0
7/27/20 2:30,0,0,0,0,0,0,0,0,0
7/27/20 3:00,0,0,0,0,0,0,0,0,0
7/27/20 3:30,0,0,0,0,0,0,0,0,0
7/27/20 4:00,0,0,0,0,0,0,0,0,0
7/27/20 4:30,0,0,0,0,0,0,0,0,0
7/27/20 5:00,0,0,0,0,0,0,0,0,0
7/27/20 5:30,0,0,0,0,0,0,0,0,0
7/27/20 6:00,0,0,0,0,0,0,0,0,0
7/27/20 6:30,0,0,0,0,0,0,0,0,0
7/27/20 7:00,0,0,0,0,0,0,0,0,0
7/27/20 7:30,0,0,0,0,0,0,0,0,0
7/27/20 8:00,0,0,0,0,0,0,0,0,0
7/27/20 8:30,1,0,0,1,1,0,0,0,0
7/27/20 9:00,0,0,0,0,1,0,0,0,0
7/27/20 9:30,1,0,0,0,1,0,0,1,1
7/27/20 10:00,2,0,0,2,3,0,0,0,1
7/27/20 10:30,0,0,0,0,3,0,0,0,1
7/27/20 11:00,1,0,0,1,4,0,0,0,1
7/27/20 11:30,0,0,0,0,4,0,0,0,1
7/27/20,2,1,1,0,4,0,0,1,2
7/27/20 12:30,1,0,1,1,5,0,0,0,2
7/27/20 13:00,0,0,1,0,5,0,0,0,2
7/27/20 13:30,0,0,1,0,5,0,0,0,2
7/27/20 14:00,4,0,1,0,5,2,2,2,4
7/27/20 14:30,3,0,1,2,7,0,2,1,5
7/27/20 15:00,0,0,1,0,7,0,2,0,5
7/27/20 15:30,2,0,1,0,7,0,2,2,7
7/27/20 16:00,1,0,1,1,8,0,2,0,7
7/27/20 16:30,0,0,1,0,8,0,2,0,7
7/27/20 17:00,6,2,3,1,9,1,3,2,9
7/27/20 17:30,2,1,4,0,9,0,3,1,10
7/27/20 18:00,0,0,4,0,9,0,3,0,10
7/27/20 18:30,2,0,4,0,9,1,4,1,11
7/27/20 19:00,5,3,7,0,9,0,4,2,13
7/27/20 19:30,2,0,7,0,9,1,5,1,14
7/27/20 20:00,1,0,7,0,9,1,6,0,14
7/27/20 20:30,0,0,7,0,9,0,6,0,14
7/27/20 21:00,3,1,8,2,11,0,6,0,14
7/27/20 21:30,2,1,9,1,12,0,6,0,14
7/27/20 22:00,4,1,10,1,13,0,6,2,16
7/27/20 22:30,1,1,11,0,13,0,6,0,16
7/27/20 23:00,3,0,11,0,13,1,7,2,18
7/27/20 23:30,0,0,11,0,13,0,7,0,18
7/28/20 0:00,0,0,11,0,13,0,7,0,18
7/28/20 0:30,0,0,11,0,13,0,7,0,18
7/28/20 1:00,0,0,11,0,13,0,7,0,18
7/28/20 1:30,1,0,11,0,13,0,7,1,19
7/28/20 2:00,3,0,11,1,14,1,8,1,20
7/28/20 2:30,1,0,11,1,15,0,8,0,20
7/28/20 3:00,0,0,11,0,15,0,8,0,20
7/28/20 3:30,0,0,11,0,15,0,8,0,20
7/28/20 4:00,0,0,11,0,15,0,8,0,20
7/28/20 4:30,0,0,11,0,15,0,8,0,20
7/28/20 5:00,2,0,11,0,15,0,8,2,22
7/28/20 5:30,1,0,11,1,16,0,8,0,22
7/28/20 6:00,0,0,11,0,16,0,8,0,22
7/28/20 6:30,0,0,11,0,16,0,8,0,22
7/28/20 7:00,3,0,11,1,17,0,8,2,24
7/28/20 7:30,0,0,11,0,17,0,8,0,24
7/28/20 8:00,3,0,11,0,17,2,10,1,25
7/28/20 8:30,1,0,11,0,17,0,10,1,26
7/28/20 9:00,1,0,11,0,17,0,10,1,27
7/28/20 9:30,2,0,11,2,19,0,10,0,27
7/28/20 10:00,0,0,11,0,19,0,10,0,27
7/28/20 10:30,0,0,11,0,19,0,10,0,27
7/28/20 11:00,1,0,11,1,20,0,10,0,27
7/28/20 11:30,1,1,12,0,20,0,10,0,27
7/28/20 12:00,1,0,12,0,20,0,10,1,28
7/28/20 12:30,3,0,12,1,21,1,11,1,29
7/28/20 13:00,1,0,12,0,21,1,12,0,29
7/28/20 13:30,0,0,12,0,21,0,12,0,29
7/28/20 14:00,3,0,12,1,22,2,14,0,29
7/28/20 14:30,0,0,12,0,22,0,14,0,29
7/28/20 15:00,0,0,12,0,22,0,14,0,29
7/28/20 15:30,2,0,12,0,22,1,15,1,30
7/28/20 16:00,1,0,12,1,23,0,15,0,30
7/28/20 16:30,1,0,12,1,24,0,15,0,30
7/28/20 17:00,6,0,12,0,24,4,19,2,32
7/28/20 17:30,2,0,12,0,24,0,19,2,34
7/28/20 18:00,2,0,12,1,25,0,19,1,35
7/28/20 18:30,2,0,12,1,26,0,19,1,36
7/28/20 19:00,3,0,12,3,29,0,19,0,36
7/28/20 19:30,2,0,12,1,30,0,19,1,37
7/28/20 20:00,2,0,12,0,30,1,20,1,38
7/28/20 20:30,1,0,12,1,31,0,20,0,38
7/28/20 21:00,2,0,12,1,32,0,20,1,39
7/28/20 21:30,1,0,12,0,32,0,20,1,40
7/28/20 22:00,4,2,14,0,32,0,20,2,42
7/28/20 22:30,0,0,14,0,32,0,20,0,42
7/28/20 23:00,1,0,14,0,32,1,21,0,42
7/28/20 23:30,0,0,14,0,32,0,21,0,42
7/29/20,3,2,16,0,32,0,21,1,43
7/29/20 0:30,1,0,16,1,33,0,21,0,43
7/29/20 1:00,1,1,17,0,33,0,21,0,43
7/29/20 1:30,2,1,18,1,34,0,21,0,43
7/29/20 2:00,0,0,18,0,34,0,21,0,43
7/29/20 2:30,1,0,18,1,35,0,21,0,43
7/29/20 3:00,0,0,18,0,35,0,21,0,43
7/29/20 3:30,0,0,18,0,35,0,21,0,43
7/29/20 4:00,1,1,19,0,35,0,21,0,43
7/29/20 4:30,0,0,19,0,35,0,21,0,43
7/29/20 5:00,0,0,19,0,35,0,21,0,43
7/29/20 5:30,1,0,19,1,36,0,21,0,43
7/29/20 6:00,1,0,19,1,37,0,21,0,43
7/29/20 6:30,1,0,19,1,38,0,21,0,43
7/29/20 7:00,1,0,19,1,39,0,21,0,43
7/29/20 7:30,0,0,19,0,39,0,21,0,43
7/29/20 8:00,2,0,19,0,39,1,22,1,44
7/29/20 8:30,2,1,20,1,40,0,22,0,44
7/29/20 9:00,0,0,20,0,40,0,22,0,44
7/29/20 9:30,2,0,20,2,42,0,22,0,44
7/29/20 10:00,3,0,20,3,45,0,22,0,44
7/29/20 10:30,1,0,20,1,46,0,22,0,44
7/29/20 11:00,1,0,20,0,46,1,23,0,44
7/29/20 11:30,0,0,20,0,46,0,23,0,44
7/29/20 12:00,3,0,20,2,48,0,23,1,45
7/29/20 12:30,5,0,20,5,53,0,23,0,45
7/29/20 13:00,1,0,20,0,53,1,24,0,45
7/29/20 13:30,2,0,20,1,54,1,25,0,45
7/29/20 14:00,2,0,20,1,55,0,25,1,46
7/29/20 14:30,1,0,20,1,56,0,25,0,46
7/29/20 15:00,6,2,22,0,56,2,27,2,48
7/29/20 15:30,2,0,22,0,56,1,28,1,49
7/29/20 16:00,2,1,23,1,57,0,28,0,49
7/29/20 16:30,1,0,23,1,58,0,28,0,49
7/29/20 17:00,4,1,24,2,60,0,28,1,50
7/29/20 17:30,3,1,25,1,61,0,28,1,51
7/29/20 18:00,2,0,25,2,63,0,28,0,51
7/29/20 18:30,4,1,26,0,63,1,29,2,53
7/29/20 19:00,1,1,27,0,63,0,29,0,53
7/29/20 19:30,4,1,28,1,64,1,30,1,54
7/29/20 20:00,2,0,28,0,64,0,30,2,56
7/29/20 20:30,5,1,29,2,66,1,31,1,57
7/29/20 21:00,0,0,29,0,66,0,31,0,57
7/29/20 21:30,0,0,29,0,66,0,31,0,57
7/29/20 22:00,1,0,29,0,66,0,31,1,58
7/29/20 22:30,4,2,31,1,67,0,31,1,59
7/29/20 23:00,3,0,31,0,67,1,32,2,61
7/29/20 23:30,2,1,32,0,67,0,32,1,62
7/30/20,0,0,32,0,67,0,32,0,62
7/30/20 0:30,0,0,32,0,67,0,32,0,62
7/30/20 1:00,0,0,32,0,67,0,32,0,62
7/30/20 1:30,1,0,32,1,68,0,32,0,62
7/30/20 2:00,0,0,32,0,68,0,32,0,62
7/30/20 2:30,2,1,33,0,68,0,32,1,63
7/30/20 3:00,0,0,33,0,68,0,32,0,63
7/30/20 3:30,0,0,33,0,68,0,32,0,63
7/30/20 4:00,1,0,33,0,68,0,32,1,64
7/30/20 4:30,0,0,33,0,68,0,32,0,64
7/30/20 5:00,0,0,33,0,68,0,32,0,64
7/30/20 5:30,2,0,33,2,70,0,32,0,64
7/30/20 6:00,0,0,33,0,70,0,32,0,64
7/30/20 6:30,0,0,33,0,70,0,32,0,64
7/30/20 7:00,0,0,33,0,70,0,32,0,64
7/30/20 7:30,0,0,33,0,70,0,32,0,64
7/30/20 8:00,0,0,33,0,70,0,32,0,64
7/30/20 8:30,1,0,33,0,70,0,32,1,65
7/30/20 9:00,1,0,33,1,71,0,32,0,65
7/30/20 9:30,0,0,33,0,71,0,32,0,65
7/30/20 10:00,0,0,33,0,71,0,32,0,65
7/30/20 10:30,2,0,33,0,71,1,33,1,66
7/30/20 11:00,1,1,34,0,71,0,33,0,66
7/30/20 11:30,2,0,34,0,71,1,34,1,67
7/30/20 12:00,7,0,34,1,72,1,35,5,72
7/30/20 12:30,2,0,34,2,74,0,35,0,72
7/30/20 13:00,0,0,34,0,74,0,35,0,72
7/30/20 13:30,0,0,34,0,74,0,35,0,72
7/30/20 14:00,2,0,34,0,74,1,36,1,73
7/30/20 14:30,2,0,34,2,76,0,36,0,73
7/30/20 15:00,1,0,34,1,77,0,36,0,73
7/30/20 15:30,2,0,34,0,77,1,37,1,74
7/30/20 16:00,2,1,35,1,78,0,37,0,74
7/30/20 16:30,0,0,35,0,78,0,37,0,74
7/30/20 17:00,3,0,35,3,81,0,37,0,74
7/30/20 17:30,2,1,36,0,81,0,37,1,75
7/30/20 18:00,2,0,36,2,83,0,37,0,75
7/30/20 18:30,9,5,41,0,83,1,38,3,78
7/30/20 19:00,0,0,41,0,83,0,38,0,78
7/30/20 19:30,1,0,41,1,84,0,38,0,78
7/30/20 20:00,1,0,41,0,84,1,39,0,78
7/30/20 20:30,2,1,42,1,85,0,39,0,78
7/30/20 21:00,2,0,42,2,87,0,39,0,78
7/30/20 21:30,1,0,42,1,88,0,39,0,78
7/30/20 22:00,1,0,42,0,88,0,39,1,79
7/30/20 22:30,1,0,42,1,89,0,39,0,79
7/30/20 23:00,4,0,42,0,89,1,40,3,82
7/30/20 23:30,1,0,42,1,90,0,40,0,82
7/31/20,2,1,43,1,91,0,40,0,82
7/31/20 0:30,0,0,43,0,91,0,40,0,82
7/31/20 1:00,0,0,43,0,91,0,40,0,82
7/31/20 1:30,1,1,44,0,91,0,40,0,82
7/31/20 2:00,0,0,44,0,91,0,40,0,82
7/31/20 2:30,0,0,44,0,91,0,40,0,82
7/31/20 3:00,2,1,45,1,92,0,40,0,82
7/31/20 3:30,0,0,45,0,92,0,40,0,82
7/31/20 4:00,0,0,45,0,92,0,40,0,82
7/31/20 4:30,0,0,45,0,92,0,40,0,82
7/31/20 5:00,0,0,45,0,92,0,40,0,82
7/31/20 5:30,1,0,45,1,93,0,40,0,82
7/31/20 6:00,0,0,45,0,93,0,40,0,82
7/31/20 6:30,0,0,45,0,93,0,40,0,82
7/31/20 7:00,0,0,45,0,93,0,40,0,82
7/31/20 7:30,0,0,45,0,93,0,40,0,82
7/31/20 8:00,2,0,45,2,95,0,40,0,82
7/31/20 8:30,3,1,46,1,96,0,40,1,83
7/31/20 9:00,0,0,46,0,96,0,40,0,83
7/31/20 9:30,2,0,46,1,97,0,40,1,84
7/31/20 10:00,1,0,46,1,98,0,40,0,84
7/31/20 10:30,0,0,46,0,98,0,40,0,84
7/31/20 11:00,1,0,46,1,99,0,40,0,84
7/31/20 11:30,6,1,47,1,100,1,41,3,87
7/31/20 12:00,1,0,47,0,100,0,41,1,88
7/31/20 12:30,3,1,48,1,101,1,42,0,88
7/31/20 13:00,0,0,48,0,101,0,42,0,88
7/31/20 13:30,1,0,48,0,101,0,42,1,89
7/31/20 14:00,0,0,48,0,101,0,42,0,89
7/31/20 14:30,1,0,48,0,101,0,42,1,90
7/31/20 15:00,3,0,48,3,104,0,42,0,90
7/31/20 15:30,1,0,48,1,105,0,42,0,90
7/31/20 16:00,2,0,48,0,105,1,43,1,91
7/31/20 16:30,1,1,49,0,105,0,43,0,91
7/31/20 17:00,2,0,49,2,107,0,43,0,91
7/31/20 17:30,1,0,49,0,107,0,43,1,92
7/31/20 18:00,2,2,51,0,107,0,43,0,92
7/31/20 18:30,4,1,52,0,107,2,45,1,93
7/31/20 19:00,2,0,52,2,109,0,45,0,93
7/31/20 19:30,2,1,53,0,109,0,45,1,94
7/31/20 20:00,3,0,53,1,110,1,46,1,95
7/31/20 20:30,0,0,53,0,110,0,46,0,95
7/31/20 21:00,0,0,53,0,110,0,46,0,95
7/31/20 21:30,3,0,53,1,111,0,46,2,97
7/31/20 22:00,1,0,53,1,112,0,46,0,97
7/31/20 22:30,2,0,53,1,113,1,47,0,97
7/31/20 23:00,2,0,53,1,114,0,47,1,98
7/31/20 23:30,0,0,53,0,114,0,47,0,98
8/1/20,0,0,53,0,114,0,47,0,98

