,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
2/29/20 0:30,0,0,0,0,0,0,0,0,0
2/29/20 1:00,0,0,0,0,0,0,0,0,0
2/29/20 1:30,0,0,0,0,0,0,0,0,0
2/29/20 2:00,0,0,0,0,0,0,0,0,0
2/29/20 2:30,0,0,0,0,0,0,0,0,0
2/29/20 3:00,0,0,0,0,0,0,0,0,0
2/29/20 3:30,0,0,0,0,0,0,0,0,0
2/29/20 4:00,0,0,0,0,0,0,0,0,0
2/29/20 4:30,0,0,0,0,0,0,0,0,0
2/29/20 5:00,0,0,0,0,0,0,0,0,0
2/29/20 5:30,0,0,0,0,0,0,0,0,0
2/29/20 6:00,0,0,0,0,0,0,0,0,0
2/29/20 6:30,0,0,0,0,0,0,0,0,0
2/29/20 7:00,0,0,0,0,0,0,0,0,0
2/29/20 7:30,0,0,0,0,0,0,0,0,0
2/29/20 8:00,0,0,0,0,0,0,0,0,0
2/29/20 8:30,0,0,0,0,0,0,0,0,0
2/29/20 9:00,0,0,0,0,0,0,0,0,0
2/29/20 9:30,0,0,0,0,0,0,0,0,0
2/29/20 10:00,0,0,0,0,0,0,0,0,0
2/29/20 10:30,0,0,0,0,0,0,0,0,0
2/29/20 11:00,0,0,0,0,0,0,0,0,0
2/29/20 11:30,6,2,2,0,0,3,3,1,1
2/29/20,3,1,3,1,1,1,4,0,1
2/29/20 12:30,2,1,4,0,1,0,4,1,2
2/29/20 13:00,2,1,5,0,1,0,4,1,3
2/29/20 13:30,2,1,6,0,1,1,5,0,3
2/29/20 14:00,3,0,6,0,1,1,6,2,5
2/29/20 14:30,1,0,6,0,1,1,7,0,5
2/29/20 15:00,1,0,6,0,1,1,8,0,5
2/29/20 15:30,0,0,6,0,1,0,8,0,5
2/29/20 16:00,2,0,6,2,3,0,8,0,5
2/29/20 16:30,1,1,7,0,3,0,8,0,5
2/29/20 17:00,4,1,8,2,5,1,9,0,5
2/29/20 17:30,2,1,9,1,6,0,9,0,5
2/29/20 18:00,1,1,10,0,6,0,9,0,5
