," Zone 2",,,,,,," Zone 3",,,,,,," Zone 4",,,,,,," Zone 5",,,,,,," Zone 2",,," Zone 3",,," Zone 4",,," Zone 5",,
,Total Vehicles,Overall Avg Speed,Avg Length,Through,Left Turn,Right Turn,Wrong Way,Total Vehicles,Overall Avg Speed,Avg Length,Through,Left Turn,Right Turn,Wrong Way,Total Vehicles,Overall Avg Speed,Avg Length,Through,Left Turn,Right Turn,Wrong Way,Total Vehicles,Overall Avg Speed,Avg Length,Through,Left Turn,Right Turn,Wrong Way,Class1,Class2,Class3,Class1,Class2,Class3,Class1,Class2,Class3,Class1,Class2,Class3
02/01/2020 00:05:00.00,2,9.5,1.4,2,0,0,0,4,15.3,6.6,0,4,0,0,1,7.0,1.0,0,1,0,0,2,0,0,4,0,0,1,0,0,,,,,,,,,,
02/01/2020 00:10:00.00,0,0.0,0.0,0,0,0,0,1,7.0,7.0,0,1,0,0,4,8.0,17.7,0,4,0,0,2,14,0.8571428571,0,2,0,0,0,0,0,0,0,1,3,0,1,2,0,0
02/01/2020 00:15:00.00,1,8.0,1.6,0,1,0,0,1,4.0,2.9,0,1,0,0,5,11.0,3.9,0,5,0,0,1,17,1.25,0,1,0,0,1,0,0,0,1,0,5,0,0,1,0,0
02/01/2020 00:20:00.00,3,11.7,3.5,2,1,0,0,1,10.0,0.5,0,1,0,0,2,10.0,1.0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0
02/01/2020 00:25:00.00,1,43.0,2.5,0,1,0,0,0,0.0,0.0,0,0,0,0,1,10.0,1.8,0,1,0,0,2,20,3.25,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0
02/01/2020 00:30:00.00,0,0.0,0.0,0,0,0,0,1,7.0,0.8,0,1,0,0,3,8.7,3.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
02/01/2020 00:35:00.00,2,10.0,4.6,0,2,0,0,2,15.0,4.6,0,2,0,0,1,9.0,1.4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0
02/01/2020 00:40:00.00,0,0.0,0.0,0,0,0,0,4,9.8,4.5,4,0,0,0,2,6.5,2.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
02/01/2020 00:45:00.00,1,13.0,10.0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,8.0,1.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
