," Zone 2",,," Zone 3",,," Zone 4",,," Zone 5",
,Curr Count,Running Total,,Curr Count,Running Total,,Curr Count,Running Total,,Curr Count,Running Total
02/29/2020 00:05:00.00,0,0,,,,,,,,,
02/29/2020 00:10:00.00,0,0,,,,,,,,,
02/29/2020 00:15:00.00,0,0,,,,,,,,,
02/29/2020 00:20:00.00,0,0,,,,,,,,,
02/29/2020 00:25:00.00,0,0,,,,,,,,,
02/29/2020 00:30:00.00,0,0,,,,,,,,,
02/29/2020 00:35:00.00,0,0,,,,,,,,,
02/29/2020 00:40:00.00,0,0,,,,,,,,,
02/29/2020 00:45:00.00,0,0,,,,,,,,,
02/29/2020 00:50:00.00,0,0,,,,,,,,,
02/29/2020 00:55:00.00,0,0,,,,,,,,,
02/29/2020 01:00:00.00,0,0,,,,,,,,,
02/29/2020 01:05:00.00,0,0,,,,,,,,,
02/29/2020 01:10:00.00,0,0,,,,,,,,,
02/29/2020 01:15:00.00,0,0,,,,,,,,,
02/29/2020 01:20:00.00,0,0,,,,,,,,,
02/29/2020 01:25:00.00,0,0,,,,,,,,,
02/29/2020 01:30:00.00,0,0,,,,,,,,,
02/29/2020 01:35:00.00,0,0,,,,,,,,,
02/29/2020 01:40:00.00,0,0,,,,,,,,,
02/29/2020 01:45:00.00,0,0,,,,,,,,,
02/29/2020 01:50:00.00,0,0,,,,,,,,,
02/29/2020 01:55:00.00,0,0,,,,,,,,,
02/29/2020 02:00:00.00,0,0,,,,,,,,,
02/29/2020 02:05:00.00,0,0,,,,,,,,,
02/29/2020 02:10:00.00,0,0,,,,,,,,,
02/29/2020 02:15:00.00,0,0,,,,,,,,,
02/29/2020 02:20:00.00,0,0,,,,,,,,,
02/29/2020 02:25:00.00,0,0,,,,,,,,,
02/29/2020 02:30:00.00,0,0,,,,,,,,,
02/29/2020 02:35:00.00,0,0,,,,,,,,,
02/29/2020 02:40:00.00,0,0,,,,,,,,,
02/29/2020 02:45:00.00,0,0,,,,,,,,,
02/29/2020 02:50:00.00,0,0,,,,,,,,,
02/29/2020 02:55:00.00,0,0,,,,,,,,,
02/29/2020 03:00:00.00,0,0,,,,,,,,,
02/29/2020 03:05:00.00,0,0,,,,,,,,,
02/29/2020 03:10:00.00,0,0,,,,,,,,,
02/29/2020 03:15:00.00,0,0,,,,,,,,,
02/29/2020 03:20:00.00,0,0,,,,,,,,,
02/29/2020 03:25:00.00,0,0,,,,,,,,,
02/29/2020 03:30:00.00,0,0,,,,,,,,,
02/29/2020 03:35:00.00,0,0,,,,,,,,,
02/29/2020 03:40:00.00,0,0,,,,,,,,,
02/29/2020 03:45:00.00,0,0,,,,,,,,,
02/29/2020 03:50:00.00,0,0,,,,,,,,,
02/29/2020 03:55:00.00,0,0,,,,,,,,,
02/29/2020 04:00:00.00,0,0,,,,,,,,,
02/29/2020 04:05:00.00,0,0,,,,,,,,,
02/29/2020 04:10:00.00,0,0,,,,,,,,,
02/29/2020 04:15:00.00,0,0,,,,,,,,,
02/29/2020 04:20:00.00,0,0,,,,,,,,,
02/29/2020 04:25:00.00,0,0,,,,,,,,,
02/29/2020 04:30:00.00,0,0,,,,,,,,,
