,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2"," 04 Eb Through #1"," 04 Eb Through #3"," 07 Eb Left Turn #1"," 07 Eb Left Turn #2",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
04/23/2020 00:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
04/23/2020 01:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
04/23/2020 01:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
04/23/2020 02:00,4,0.7,0,2,0,0,0.2,2,0,2,0,0.8333333333,0,0,0,0,0,0
04/23/2020 02:30,6,1.0,1,5,0,0,1.8,2,2,2,0,3,2.6666666667,1.3333333333,0,1,1,1
04/23/2020 03:00,3,0.5,1,2,0,0,1.3,1,0,0,2,2.5,0,0,2.8333333333,3,0,0
04/23/2020 03:30,6,1.0,0,6,0,0,1.8,1,0,2,3,1.6666666667,0,2.6666666667,2.8333333333,6,0,0
04/23/2020 04:00,10,1.7,5,5,0,0,3.1,5,0,2,3,3.4722222222,0,2.6666666667,6.1666666667,10,0,0
04/23/2020 04:30,4,0.7,1,3,0,0,2.4,0,2,1,1,0,7.5,1.1666666667,0.8333333333,4,0,0
04/23/2020 05:00,3,0.5,1,2,0,0,1.4,2,1,0,0,3.6666666667,2,0,0,3,0,0
04/23/2020 05:30,12,2.0,0,12,0,0,4.0,2,0,4,6,3,0,6.3333333333,6.6111111111,11,1,0
04/23/2020 06:00,6,1.0,2,4,0,0,2.2,1,1,2,2,1.5,1.8333333333,2.8333333333,2.5,6,0,0
04/23/2020 06:30,10,1.7,3,7,0,0,3.7,6,0,1,3,10.1666666667,0,0.5,4.1666666667,9,1,0
04/23/2020 07:00,15,2.5,1,14,0,0,6.1,4,1,3,7,12.1666666667,1.8333333333,4.4166666667,6.1388888889,13,2,0
04/23/2020 07:30,44,7.3,6,37,1,0,10.8,5,16,12,11,8.75,12.8174603175,12.8333333333,8.75,28,13,3
04/23/2020 08:00,64,10.7,13,51,0,0,13.3,15,11,13,25,15.7916666667,12.1527777778,11.3055555556,13.9055555556,46,17,1
04/23/2020 08:30,91,15.2,25,66,0,0,14.2,24,13,25,29,17.0444444444,13.3472222222,14.1595238095,12.3869047619,58,28,5
04/23/2020 09:00,89,14.8,29,60,0,0,13.4,20,14,23,32,17.15,9.8166666667,13.3833333333,13.1295634921,68,18,3
04/23/2020 09:30,80,13.3,14,66,0,0,14.9,21,10,22,27,20.5166666667,14.0416666667,12.1027777778,12.9222222222,61,15,4
04/23/2020 10:00,92,15.3,16,76,0,0,14.5,28,12,26,26,15.4583333333,17.4444444444,12.5858585859,12.5305555556,67,23,2
04/23/2020 10:30,79,13.2,17,62,0,0,18.7,20,10,21,28,23.5222222222,22.3611111111,14.8833333333,13.9263888889,62,10,7
04/23/2020 11:00,107,17.8,24,83,0,0,14.8,32,24,24,27,18.5819444444,13.2182539683,12,15.4805555556,76,24,7
04/23/2020 11:30,96,16.0,21,75,0,0,13.8,33,18,17,28,17.1,12.9444444444,12.8055555556,12.3273809524,72,22,2
04/23/2020 12:00,140,23.3,21,119,0,0,16.0,34,33,35,38,19.9060185185,16.2138888889,14.5587301587,13.3742063492,117,18,6
04/23/2020 12:30,126,21.0,23,103,0,0,14.5,32,28,34,32,13.0902777778,16.5722222222,15.0694444444,13.1813492063,108,16,2
04/23/2020 13:00,158,26.3,29,129,0,0,16.0,46,34,31,47,19.6192307692,17.9402777778,12.4652777778,14.0584415584,129,26,3
04/23/2020 13:30,174,29.0,44,130,0,0,14.8,46,38,47,43,14.9811507937,17.3449074074,13.025,14.0429292929,140,32,3
04/23/2020 14:00,149,24.8,33,116,0,0,13.7,43,23,39,44,15.2873677249,12.85,13.5962301587,13.2015873016,128,20,1
04/23/2020 14:30,157,26.2,43,114,0,0,15.1,38,36,33,50,17.7611111111,15.2055555556,13.4291666667,14.1178030303,131,21,5
04/23/2020 15:00,157,26.2,49,108,0,0,14.7,48,32,35,42,16.6332671958,18.0025252525,12.4825396825,11.496031746,128,27,2
04/23/2020 15:30,151,25.2,34,117,0,0,15.2,36,33,28,54,17.4781746032,18.4619047619,10.9666666667,13.7811147186,131,19,1
04/23/2020 16:00,174,29.0,47,126,1,0,16.1,46,34,47,47,17.6606481481,18.1785714286,14.5687830688,13.9942039442,152,17,5
04/23/2020 16:30,140,23.3,30,110,0,0,16.1,36,22,38,44,16.6916666667,20.7857142857,13.5281746032,13.2703703704,123,16,1
