," 04 Eb Through #1",,," 04 Eb Through #3",,," 07 Eb Left Turn #1",,," 07 Eb Left Turn #2",
,Curr Count,Running Total,,Curr Count,Running Total,,Curr Count,Running Total,,Curr Count,Running Total
07/27/2020 18:05:00.00,0,4,,0,9,,0,3,,0,10
07/27/2020 18:10:00.00,0,4,,0,9,,0,3,,0,10
07/27/2020 18:15:00.00,0,4,,0,9,,0,3,,0,10
07/27/2020 18:20:00.00,0,4,,0,9,,0,3,,0,10
07/27/2020 18:25:00.00,0,4,,0,9,,0,3,,0,10
07/27/2020 18:30:00.00,0,4,,0,9,,1,4,,1,11
07/27/2020 18:35:00.00,1,5,,0,9,,0,4,,1,12
07/27/2020 18:40:00.00,1,6,,0,9,,0,4,,1,13
07/27/2020 18:45:00.00,0,6,,0,9,,0,4,,0,13
07/27/2020 18:50:00.00,0,6,,0,9,,0,4,,0,13
07/27/2020 18:55:00.00,1,7,,0,9,,0,4,,0,13
07/27/2020 19:00:00.00,0,7,,0,9,,0,4,,0,13
07/27/2020 19:05:00.00,0,7,,0,9,,0,4,,0,13
07/27/2020 19:10:00.00,0,7,,0,9,,0,4,,0,13
07/27/2020 19:15:00.00,0,7,,0,9,,0,4,,0,13
07/27/2020 19:20:00.00,0,7,,0,9,,0,4,,1,14
07/27/2020 19:25:00.00,0,7,,0,9,,0,4,,0,14
07/27/2020 19:30:00.00,0,7,,0,9,,1,5,,0,14
07/27/2020 19:35:00.00,0,7,,0,9,,0,5,,0,14
07/27/2020 19:40:00.00,0,7,,0,9,,0,5,,0,14
07/27/2020 19:45:00.00,0,7,,0,9,,1,6,,0,14
07/27/2020 19:50:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 19:55:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:00:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:05:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:10:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:15:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:20:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:25:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:30:00.00,0,7,,0,9,,0,6,,0,14
07/27/2020 20:35:00.00,1,8,,2,11,,0,6,,0,14
07/27/2020 20:40:00.00,0,8,,0,11,,0,6,,0,14
07/27/2020 20:45:00.00,0,8,,0,11,,0,6,,0,14
07/27/2020 20:50:00.00,0,8,,0,11,,0,6,,0,14
07/27/2020 20:55:00.00,0,8,,0,11,,0,6,,0,14
07/27/2020 21:00:00.00,0,8,,0,11,,0,6,,0,14
07/27/2020 21:05:00.00,0,8,,0,11,,0,6,,0,14
07/27/2020 21:10:00.00,0,8,,0,11,,0,6,,0,14
07/27/2020 21:15:00.00,1,9,,1,12,,0,6,,0,14
07/27/2020 21:20:00.00,0,9,,0,12,,0,6,,0,14
07/27/2020 21:25:00.00,0,9,,0,12,,0,6,,0,14
07/27/2020 21:30:00.00,0,9,,0,12,,0,6,,0,14
07/27/2020 21:35:00.00,0,9,,0,12,,0,6,,1,15
07/27/2020 21:40:00.00,0,9,,0,12,,0,6,,1,16
07/27/2020 21:45:00.00,1,10,,1,13,,0,6,,0,16
07/27/2020 21:50:00.00,0,10,,0,13,,0,6,,0,16
07/27/2020 21:55:00.00,0,10,,0,13,,0,6,,0,16
07/27/2020 22:00:00.00,0,10,,0,13,,0,6,,0,16
07/27/2020 22:05:00.00,0,10,,0,13,,0,6,,0,16
07/27/2020 22:10:00.00,0,10,,0,13,,0,6,,0,16
07/27/2020 22:15:00.00,1,11,,0,13,,0,6,,0,16
07/27/2020 22:20:00.00,0,11,,0,13,,0,6,,0,16
07/27/2020 22:25:00.00,0,11,,0,13,,0,6,,0,16
07/27/2020 22:30:00.00,0,11,,0,13,,0,6,,0,16
07/27/2020 22:35:00.00,0,11,,0,13,,0,6,,0,16
07/27/2020 22:40:00.00,0,11,,0,13,,0,6,,1,17
07/27/2020 22:45:00.00,0,11,,0,13,,0,6,,0,17
07/27/2020 22:50:00.00,0,11,,0,13,,0,6,,0,17
07/27/2020 22:55:00.00,0,11,,0,13,,0,6,,0,17
07/27/2020 23:00:00.00,0,11,,0,13,,1,7,,1,18
07/27/2020 23:05:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:10:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:15:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:20:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:25:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:30:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:35:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:40:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:45:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:50:00.00,0,11,,0,13,,0,7,,0,18
07/27/2020 23:55:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:00:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:05:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:10:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:15:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:20:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:25:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:30:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:35:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:40:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:45:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:50:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 00:55:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 01:00:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 01:05:00.00,0,11,,0,13,,0,7,,0,18
07/28/2020 01:10:00.00,0,11,,0,13,,0,7,,1,19
07/28/2020 01:15:00.00,0,11,,0,13,,0,7,,0,19
07/28/2020 01:20:00.00,0,11,,0,13,,0,7,,0,19
07/28/2020 01:25:00.00,0,11,,0,13,,0,7,,0,19
07/28/2020 01:30:00.00,0,11,,0,13,,0,7,,0,19
07/28/2020 01:35:00.00,0,11,,0,13,,1,8,,1,20
07/28/2020 01:40:00.00,0,11,,0,13,,0,8,,0,20
07/28/2020 01:45:00.00,0,11,,1,14,,0,8,,0,20
07/28/2020 01:50:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 01:55:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 02:00:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 02:05:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 02:10:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 02:15:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 02:20:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 02:25:00.00,0,11,,0,14,,0,8,,0,20
07/28/2020 02:30:00.00,0,11,,1,15,,0,8,,0,20
07/28/2020 02:35:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 02:40:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 02:45:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 02:50:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 02:55:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:00:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:05:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:10:00.00,0,11,,0,15,,0,8,,0,20
07/28/2020 03:15:00.00,0,11,,0,15,,0,8,,0,20
