,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
9/29/19 0:30,0,0,0,0,0,0,0,0,0
9/29/19 1:00,0,0,0,0,0,0,0,0,0
9/29/19 1:30,0,0,0,0,0,0,0,0,0
9/29/19 2:00,0,0,0,0,0,0,0,0,0
9/29/19 2:30,0,0,0,0,0,0,0,0,0
9/29/19 3:00,0,0,0,0,0,0,0,0,0
9/29/19 3:30,0,0,0,0,0,0,0,0,0
9/29/19 4:00,0,0,0,0,0,0,0,0,0
9/29/19 4:30,0,0,0,0,0,0,0,0,0
9/29/19 5:00,0,0,0,0,0,0,0,0,0
9/29/19 5:30,0,0,0,0,0,0,0,0,0
9/29/19 6:00,0,0,0,0,0,0,0,0,0
9/29/19 6:30,0,0,0,0,0,0,0,0,0
9/29/19 7:00,0,0,0,0,0,0,0,0,0
9/29/19 7:30,0,0,0,0,0,0,0,0,0
9/29/19 8:00,0,0,0,0,0,0,0,0,0
9/29/19 8:30,0,0,0,0,0,0,0,0,0
9/29/19 9:00,0,0,0,0,0,0,0,0,0
9/29/19 9:30,0,0,0,0,0,0,0,0,0
9/29/19 10:00,0,0,0,0,0,0,0,0,0
9/29/19 10:30,0,0,0,0,0,0,0,0,0
9/29/19 11:00,0,0,0,0,0,0,0,0,0
9/29/19 11:30,0,0,0,0,0,0,0,0,0
9/29/19,0,0,0,0,0,0,0,0,0
9/29/19 12:30,0,0,0,0,0,0,0,0,0
9/29/19 13:00,0,0,0,0,0,0,0,0,0
9/29/19 13:30,0,0,0,0,0,0,0,0,0
9/29/19 14:00,0,0,0,0,0,0,0,0,0
9/29/19 14:30,3,0,0,2,2,1,1,0,0
9/29/19 15:00,0,0,0,0,2,0,1,0,0
9/29/19 15:30,1,0,0,0,2,0,1,1,1
9/29/19 16:00,0,0,0,0,2,0,1,0,1
9/29/19 16:30,0,0,0,0,2,0,1,0,1
9/29/19 17:00,2,1,1,0,2,1,2,0,1
9/29/19 17:30,0,0,1,0,2,0,2,0,1
9/29/19 18:00,0,0,1,0,2,0,2,0,1
9/29/19 18:30,1,0,1,1,3,0,2,0,1
9/29/19 19:00,2,1,2,1,4,0,2,0,1
9/29/19 19:30,7,0,2,0,4,4,6,3,4
9/29/19 20:00,1,1,3,0,4,0,6,0,4
9/29/19 20:30,10,3,6,3,7,3,9,1,5
9/29/19 21:00,3,1,7,2,9,0,9,0,5
9/29/19 21:30,4,0,7,2,11,1,10,1,6
9/29/19 22:00,3,1,8,2,13,0,10,0,6
9/29/19 22:30,3,0,8,1,14,1,11,1,7
9/29/19 23:00,3,1,9,1,15,1,12,0,7
9/29/19 23:30,1,0,9,1,16,0,12,0,7
9/30/19 0:00,0,0,9,0,16,0,12,0,7
9/30/19 0:30,1,1,10,0,16,0,12,0,7
9/30/19 1:00,0,0,10,0,16,0,12,0,7
9/30/19 1:30,0,0,10,0,16,0,12,0,7
9/30/19 2:00,0,0,10,0,16,0,12,0,7
