,Ttl Volume,Avg Volume,Ttl Through,Ttl Left Turn,Ttl Right Turn,Ttl Wrong Way,Overall Avg Speed," Zone 2"," Zone 3"," Zone 4"," Zone 5"," Zone 2"," Zone 3"," Zone 4"," Zone 5",Class 1: 0-22ft,Class 2: 22-36ft,Class 3: 36-Up
09/08/2019 00:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 01:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 01:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 02:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 02:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 03:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 03:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 04:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 04:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 05:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 05:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 06:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 06:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 07:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 07:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 08:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 08:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 09:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 09:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 10:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 10:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 11:00,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 11:30,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09/08/2019 12:00,194,32.3,63,131,0,0,13.9,52,53,43,46,15.1336108336,16.0059343434,12.4953703704,12.0448593074,169,22,3
09/08/2019 12:30,296,49.3,88,208,0,0,17.0,69,83,79,65,17.2506535948,20.3025252525,15.2131441679,15.1887566138,248,44,4
09/08/2019 13:00,286,47.7,69,217,0,0,17.0,64,69,81,72,17.1071386946,18.7454365079,16.2939393939,15.7635378754,247,36,3
09/08/2019 13:30,323,53.8,87,236,0,0,17.6,66,79,97,81,19.1666666667,19.7306397306,15.5591094771,16.1397435897,279,41,3
09/08/2019 14:00,288,48.0,96,191,1,0,16.2,69,75,76,68,17.9038233009,17.5778089013,15.3863095238,14.0892779334,244,40,4
09/08/2019 14:30,268,44.7,74,194,0,0,15.6,54,71,79,64,16.3704351204,17.4828745601,14.7367684195,14.0005827506,238,25,5
09/08/2019 15:00,279,46.5,81,198,0,0,16.4,65,74,77,63,17.8254146317,19.1134920635,14.6112203428,14.2316017316,247,26,6
09/08/2019 15:30,236,39.3,77,159,0,0,15.1,61,72,54,49,15.7787910619,17.2223856209,14.270959596,13.0238095238,215,18,3
09/08/2019 16:00,216,36.0,63,153,0,0,15.8,51,54,61,50,16.3619047619,17.3335257335,14.8257298257,14.5629176379,200,13,3
09/08/2019 16:30,179,29.8,51,128,0,0,15.7,42,46,53,38,16.6817460317,17.6255952381,14.8888888889,13.7232142857,170,8,1
09/08/2019 17:00,197,32.8,57,140,0,0,15.5,51,59,46,41,17.1814814815,18.0655723906,13.3660353535,13.4494047619,188,8,1
09/08/2019 17:30,200,33.3,56,144,0,0,14.9,47,46,56,51,15.6029401154,15.2997835498,14.4106301106,14.460016835,185,12,3
09/08/2019 18:00,218,36.3,80,138,0,0,14.4,61,56,50,51,15.6498723499,16.2001170126,13.1265993266,12.732996633,198,17,3
09/08/2019 18:30,204,34.0,63,141,0,0,14.8,47,65,53,39,17.1237373737,16.3032467532,13.0323620824,12.6243326118,168,29,7
09/08/2019 19:00,185,30.8,68,117,0,0,15.0,52,45,50,38,15.6919191919,16.6002164502,14.0044973545,13.7361111111,144,37,4
09/08/2019 19:30,178,29.7,51,127,0,0,16.8,35,54,48,41,17.0349206349,19.1656084656,15.9113095238,15.1225108225,104,57,17
09/08/2019 20:00,191,31.8,42,149,0,0,15.1,46,42,61,42,16.2,16.462962963,13.8726851852,13.8291666667,140,47,4
