,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
10/1/19 0:30,1,0,0,1,1,0,0,0,0
10/1/19 1:00,3,0,0,0,1,2,2,1,1
10/1/19 1:30,0,0,0,0,1,0,2,0,1
10/1/19 2:00,0,0,0,0,1,0,2,0,1
10/1/19 2:30,2,2,2,0,1,0,2,0,1
10/1/19 3:00,0,0,2,0,1,0,2,0,1
10/1/19 3:30,1,0,2,0,1,1,3,0,1
10/1/19 4:00,0,0,2,0,1,0,3,0,1
10/1/19 4:30,0,0,2,0,1,0,3,0,1
10/1/19 5:00,1,1,3,0,1,0,3,0,1
10/1/19 5:30,1,1,4,0,1,0,3,0,1
10/1/19 6:00,5,2,6,1,2,1,4,1,2
10/1/19 6:30,0,0,6,0,2,0,4,0,2
10/1/19 7:00,4,0,6,1,3,1,5,2,4
10/1/19 7:30,8,5,11,2,5,1,6,0,4
10/1/19 8:00,0,0,11,0,5,0,6,0,4
10/1/19 8:30,0,0,11,0,5,0,6,0,4
10/1/19 9:00,0,0,11,0,5,0,6,0,4
10/1/19 9:30,0,0,11,0,5,0,6,0,4
10/1/19 10:00,0,0,11,0,5,0,6,0,4
10/1/19 10:30,1,0,11,1,6,0,6,0,4
10/1/19 11:00,0,0,11,0,6,0,6,0,4
10/1/19 11:30,0,0,11,0,6,0,6,0,4
10/1/19,0,0,11,0,6,0,6,0,4
10/1/19 12:30,0,0,11,0,6,0,6,0,4
10/1/19 13:00,3,2,13,0,6,0,6,1,5
10/1/19 13:30,2,0,13,0,6,1,7,1,6
10/1/19 14:00,4,1,14,0,6,1,8,2,8
10/1/19 14:30,3,0,14,1,7,2,10,0,8
10/1/19 15:00,0,0,14,0,7,0,10,0,8
10/1/19 15:30,2,0,14,1,8,1,11,0,8
10/1/19 16:00,3,1,15,1,9,0,11,1,9
10/1/19 16:30,1,1,16,0,9,0,11,0,9
10/1/19 17:00,2,1,17,1,10,0,11,0,9
10/1/19 17:30,0,0,17,0,10,0,11,0,9
10/1/19 18:00,0,0,17,0,10,0,11,0,9
10/1/19 18:30,2,1,18,1,11,0,11,0,9
10/1/19 19:00,2,0,18,2,13,0,11,0,9
10/1/19 19:30,2,0,18,0,13,2,13,0,9
10/1/19 20:00,2,1,19,0,13,1,14,0,9
10/1/19 20:30,12,7,26,4,17,0,14,1,10
10/1/19 21:00,5,3,29,2,19,0,14,0,10
10/1/19 21:30,4,0,29,2,21,1,15,1,11
10/1/19 22:00,5,3,32,1,22,1,16,0,11
10/1/19 22:30,9,4,36,3,25,1,17,1,12
10/1/19 23:00,0,0,36,0,25,0,17,0,12
10/1/19 23:30,4,0,36,0,25,2,19,2,14
10/2/19 0:00,4,2,38,2,27,0,19,0,14
10/2/19 0:30,3,1,39,2,29,0,19,0,14
10/2/19 1:00,0,0,39,0,29,0,19,0,14
10/2/19 1:30,1,0,39,0,29,1,20,0,14
10/2/19 2:00,1,1,40,0,29,0,20,0,14
10/2/19 2:30,0,0,40,0,29,0,20,0,14
10/2/19 3:00,0,0,40,0,29,0,20,0,14
10/2/19 3:30,0,0,40,0,29,0,20,0,14
10/2/19 4:00,1,0,40,0,29,1,21,0,14
10/2/19 4:30,0,0,40,0,29,0,21,0,14
10/2/19 5:00,2,0,40,1,30,0,21,1,15
10/2/19 5:30,3,2,42,1,31,0,21,0,15
10/2/19 6:00,2,1,43,1,32,0,21,0,15
10/2/19 6:30,2,1,44,1,33,0,21,0,15
10/2/19 7:00,3,1,45,0,33,1,22,1,16
10/2/19 7:30,0,0,45,0,33,0,22,0,16
10/2/19 8:00,0,0,45,0,33,0,22,0,16
10/2/19 8:30,0,0,45,0,33,0,22,0,16
10/2/19 9:00,2,2,47,0,33,0,22,0,16
10/2/19 9:30,0,0,47,0,33,0,22,0,16
10/2/19 10:00,0,0,47,0,33,0,22,0,16
10/2/19 10:30,1,1,48,0,33,0,22,0,16
10/2/19 11:00,1,1,49,0,33,0,22,0,16
10/2/19 11:30,1,1,50,0,33,0,22,0,16
10/2/19 12:00,0,0,50,0,33,0,22,0,16
10/2/19 12:30,1,0,50,0,33,1,23,0,16
10/2/19 13:00,3,1,51,0,33,0,23,2,18
10/2/19 13:30,1,0,51,0,33,1,24,0,18
10/2/19 14:00,2,1,52,0,33,1,25,0,18
10/2/19 14:30,1,0,52,1,34,0,25,0,18
10/2/19 15:00,2,0,52,0,34,1,26,1,19
10/2/19 15:30,4,2,54,1,35,1,27,0,19
10/2/19 16:00,1,0,54,0,35,1,28,0,19
10/2/19 16:30,1,0,54,1,36,0,28,0,19
10/2/19 17:00,2,1,55,0,36,0,28,1,20
10/2/19 17:30,5,1,56,1,37,2,30,1,21
10/2/19 18:00,0,0,56,0,37,0,30,0,21
