,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
10/28/19 0:30,0,0,0,0,0,0,0,0,0
10/28/19 1:00,0,0,0,0,0,0,0,0,0
10/28/19 1:30,0,0,0,0,0,0,0,0,0
10/28/19 2:00,0,0,0,0,0,0,0,0,0
10/28/19 2:30,0,0,0,0,0,0,0,0,0
10/28/19 3:00,0,0,0,0,0,0,0,0,0
10/28/19 3:30,0,0,0,0,0,0,0,0,0
10/28/19 4:00,0,0,0,0,0,0,0,0,0
10/28/19 4:30,0,0,0,0,0,0,0,0,0
10/28/19 5:00,0,0,0,0,0,0,0,0,0
10/28/19 5:30,0,0,0,0,0,0,0,0,0
10/28/19 6:00,0,0,0,0,0,0,0,0,0
10/28/19 6:30,0,0,0,0,0,0,0,0,0
10/28/19 7:00,0,0,0,0,0,0,0,0,0
10/28/19 7:30,0,0,0,0,0,0,0,0,0
10/28/19 8:00,0,0,0,0,0,0,0,0,0
10/28/19 8:30,0,0,0,0,0,0,0,0,0
10/28/19 9:00,0,0,0,0,0,0,0,0,0
10/28/19 9:30,0,0,0,0,0,0,0,0,0
10/28/19 10:00,0,0,0,0,0,0,0,0,0
10/28/19 10:30,0,0,0,0,0,0,0,0,0
10/28/19 11:00,0,0,0,0,0,0,0,0,0
10/28/19 11:30,0,0,0,0,0,0,0,0,0
10/28/19,0,0,0,0,0,0,0,0,0
10/28/19 12:30,0,0,0,0,0,0,0,0,0
10/28/19 13:00,0,0,0,0,0,0,0,0,0
10/28/19 13:30,0,0,0,0,0,0,0,0,0
10/28/19 14:00,0,0,0,0,0,0,0,0,0
10/28/19 14:30,0,0,0,0,0,0,0,0,0
10/28/19 15:00,0,0,0,0,0,0,0,0,0
10/28/19 15:30,2,0,0,1,1,1,1,0,0
10/28/19 16:00,0,0,0,0,1,0,1,0,0
10/28/19 16:30,0,0,0,0,1,0,1,0,0
10/28/19 17:00,0,0,0,0,1,0,1,0,0
10/28/19 17:30,2,2,2,0,1,0,1,0,0
10/28/19 18:00,1,0,2,0,1,1,2,0,0
10/28/19 18:30,1,0,2,0,1,0,2,1,1
10/28/19 19:00,0,0,2,0,1,0,2,0,1
10/28/19 19:30,2,0,2,2,3,0,2,0,1
10/28/19 20:00,11,3,5,4,7,4,6,0,1
10/28/19 20:30,10,3,8,7,14,0,6,0,1
10/28/19 21:00,4,0,8,3,17,0,6,1,2
10/28/19 21:30,5,2,10,1,18,1,7,1,3
10/28/19 22:00,3,1,11,1,19,1,8,0,3
10/28/19 22:30,3,1,12,2,21,0,8,0,3
10/28/19 23:00,1,0,12,0,21,1,9,0,3
10/28/19 23:30,0,0,12,0,21,0,9,0,3
10/29/19 0:00,2,2,14,0,21,0,9,0,3
10/29/19 0:30,0,0,14,0,21,0,9,0,3
10/29/19 1:00,2,0,14,0,21,1,10,1,4
10/29/19 1:30,1,0,14,1,22,0,10,0,4
10/29/19 2:00,2,2,16,0,22,0,10,0,4
10/29/19 2:30,0,0,16,0,22,0,10,0,4
10/29/19 3:00,0,0,16,0,22,0,10,0,4
10/29/19 3:30,0,0,16,0,22,0,10,0,4
10/29/19 4:00,0,0,16,0,22,0,10,0,4
10/29/19 4:30,0,0,16,0,22,0,10,0,4
10/29/19 5:00,0,0,16,0,22,0,10,0,4
10/29/19 5:30,2,0,16,1,23,1,11,0,4
10/29/19 6:00,4,3,19,1,24,0,11,0,4
10/29/19 6:30,0,0,19,0,24,0,11,0,4
10/29/19 7:00,7,4,23,1,25,1,12,1,5
10/29/19 7:30,3,0,23,0,25,2,14,1,6
10/29/19 8:00,4,3,26,1,26,0,14,0,6
10/29/19 8:30,4,0,26,2,28,2,16,0,6
10/29/19 9:00,0,0,26,0,28,0,16,0,6
10/29/19 9:30,1,0,26,1,29,0,16,0,6
10/29/19 10:00,0,0,26,0,29,0,16,0,6
10/29/19 10:30,0,0,26,0,29,0,16,0,6
10/29/19 11:00,0,0,26,0,29,0,16,0,6
10/29/19 11:30,2,1,27,0,29,1,17,0,6
10/29/19 12:00,1,1,28,0,29,0,17,0,6
10/29/19 12:30,0,0,28,0,29,0,17,0,6
10/29/19 13:00,2,0,28,1,30,1,18,0,6
10/29/19 13:30,2,0,28,1,31,1,19,0,6
10/29/19 14:00,0,0,28,0,31,0,19,0,6
10/29/19 14:30,0,0,28,0,31,0,19,0,6
10/29/19 15:00,4,0,28,1,32,1,20,2,8
10/29/19 15:30,4,2,30,0,32,0,20,2,10
10/29/19 16:00,1,0,30,0,32,1,21,0,10
