,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
12/14/19 0:30,0,0,0,0,0,0,0,0,0
12/14/19 1:00,0,0,0,0,0,0,0,0,0
12/14/19 1:30,0,0,0,0,0,0,0,0,0
12/14/19 2:00,0,0,0,0,0,0,0,0,0
12/14/19 2:30,0,0,0,0,0,0,0,0,0
12/14/19 3:00,0,0,0,0,0,0,0,0,0
12/14/19 3:30,0,0,0,0,0,0,0,0,0
12/14/19 4:00,0,0,0,0,0,0,0,0,0
12/14/19 4:30,0,0,0,0,0,0,0,0,0
12/14/19 5:00,0,0,0,0,0,0,0,0,0
12/14/19 5:30,0,0,0,0,0,0,0,0,0
12/14/19 6:00,0,0,0,0,0,0,0,0,0
12/14/19 6:30,0,0,0,0,0,0,0,0,0
12/14/19 7:00,0,0,0,0,0,0,0,0,0
12/14/19 7:30,0,0,0,0,0,0,0,0,0
12/14/19 8:00,0,0,0,0,0,0,0,0,0
12/14/19 8:30,0,0,0,0,0,0,0,0,0
12/14/19 9:00,0,0,0,0,0,0,0,0,0
12/14/19 9:30,0,0,0,0,0,0,0,0,0
12/14/19 10:00,0,0,0,0,0,0,0,0,0
12/14/19 10:30,0,0,0,0,0,0,0,0,0
12/14/19 11:00,0,0,0,0,0,0,0,0,0
12/14/19 11:30,0,0,0,0,0,0,0,0,0
12/14/19,0,0,0,0,0,0,0,0,0
12/14/19 12:30,0,0,0,0,0,0,0,0,0
12/14/19 13:00,0,0,0,0,0,0,0,0,0
12/14/19 13:30,0,0,0,0,0,0,0,0,0
12/14/19 14:00,5,1,1,0,0,3,3,1,1
12/14/19 14:30,1,0,1,0,0,1,4,0,1
12/14/19 15:00,3,0,1,0,0,1,5,2,3
12/14/19 15:30,2,0,1,0,0,1,6,1,4
12/14/19 16:00,1,0,1,1,1,0,6,0,4
12/14/19 16:30,1,1,2,0,1,0,6,0,4
12/14/19 17:00,0,0,2,0,1,0,6,0,4
12/14/19 17:30,1,0,2,0,1,1,7,0,4
12/14/19 18:00,1,0,2,0,1,0,7,1,5
12/14/19 18:30,24,8,10,11,12,5,12,0,5
12/14/19 19:00,20,4,14,7,19,9,21,0,5
12/14/19 19:30,12,6,20,5,24,0,21,1,6
12/14/19 20:00,11,2,22,5,29,3,24,1,7
12/14/19 20:30,7,2,24,3,32,1,25,1,8
12/14/19 21:00,10,4,28,3,35,3,28,0,8
12/14/19 21:30,9,7,35,1,36,1,29,0,8
12/14/19 22:00,2,2,37,0,36,0,29,0,8
12/14/19 22:30,9,1,38,5,41,3,32,0,8
