,," Zone 2",Run Total," Zone 3",Run Total," Zone 4",Run Total," Zone 5",Run Total
12/30/19 8:30,0,0,74,0,72,0,36,0,6
12/30/19 9:00,2,2,76,0,72,0,36,0,6
12/30/19 9:30,0,0,76,0,72,0,36,0,6
12/30/19 10:00,0,0,76,0,72,0,36,0,6
12/30/19 10:30,0,0,76,0,72,0,36,0,6
12/30/19 11:00,1,0,76,0,72,1,37,0,6
12/30/19 11:30,0,0,76,0,72,0,37,0,6
12/30/19 12:00,2,0,76,0,72,2,39,0,6
12/30/19 12:30,0,0,76,0,72,0,39,0,6
12/30/19 13:00,0,0,76,0,72,0,39,0,6
12/30/19 13:30,1,0,76,0,72,1,40,0,6
12/30/19 14:00,1,0,76,0,72,1,41,0,6
12/30/19 14:30,1,1,77,0,72,0,41,0,6
12/30/19 15:00,3,2,79,0,72,0,41,1,7
12/30/19 15:30,0,0,79,0,72,0,41,0,7
12/30/19 16:00,0,0,79,0,72,0,41,0,7
12/30/19 16:30,1,0,79,0,72,1,42,0,7
12/30/19 17:00,1,1,80,0,72,0,42,0,7
12/30/19 17:30,0,0,80,0,72,0,42,0,7
12/30/19 18:00,0,0,80,0,72,0,42,0,7
12/30/19 18:30,12,5,85,5,77,1,43,1,8
12/30/19 19:00,16,5,90,7,84,2,45,2,10
12/30/19 19:30,12,3,93,5,89,3,48,1,11
12/30/19 20:00,12,5,98,4,93,3,51,0,11
12/30/19 20:30,10,5,103,3,96,1,52,1,12
12/30/19 21:00,6,1,104,2,98,3,55,0,12
12/30/19 21:30,4,1,105,2,100,1,56,0,12
12/30/19 22:00,3,0,105,2,102,0,56,1,13
12/30/19 22:30,8,2,107,5,107,1,57,0,13
12/30/19 23:00,1,0,107,1,108,0,57,0,13
12/30/19 23:30,1,0,107,1,109,0,57,0,13
12/31/19,1,0,107,1,110,0,57,0,13
12/31/19 0:30,0,0,107,0,110,0,57,0,13
12/31/19 1:00,0,0,107,0,110,0,57,0,13
12/31/19 1:30,2,1,108,1,111,0,57,0,13
12/31/19 2:00,1,0,108,1,112,0,57,0,13
12/31/19 2:30,0,0,108,0,112,0,57,0,13
12/31/19 3:00,0,0,108,0,112,0,57,0,13
12/31/19 3:30,0,0,108,0,112,0,57,0,13
12/31/19 4:00,2,1,109,1,113,0,57,0,13
12/31/19 4:30,0,0,109,0,113,0,57,0,13
12/31/19 5:00,1,0,109,1,114,0,57,0,13
12/31/19 5:30,0,0,109,0,114,0,57,0,13
12/31/19 6:00,1,0,109,1,115,0,57,0,13
12/31/19 6:30,0,0,109,0,115,0,57,0,13
12/31/19 7:00,1,0,109,1,116,0,57,0,13
12/31/19 7:30,5,2,111,0,116,2,59,1,14
12/31/19 8:00,0,0,111,0,116,0,59,0,14
12/31/19 8:30,0,0,111,0,116,0,59,0,14
12/31/19 9:00,1,1,112,0,116,0,59,0,14
12/31/19 9:30,0,0,112,0,116,0,59,0,14
12/31/19 10:00,2,0,112,1,117,0,59,1,15
12/31/19 10:30,0,0,112,0,117,0,59,0,15
12/31/19 11:00,0,0,112,0,117,0,59,0,15
12/31/19 11:30,2,0,112,1,118,1,60,0,15
12/31/19 12:00,2,0,112,0,118,0,60,2,17
12/31/19 12:30,0,0,112,0,118,0,60,0,17
12/31/19 13:00,2,0,112,0,118,1,61,1,18
12/31/19 13:30,1,0,112,0,118,0,61,1,19
12/31/19 14:00,0,0,112,0,118,0,61,0,19
12/31/19 14:30,1,0,112,0,118,1,62,0,19
12/31/19 15:00,0,0,112,0,118,0,62,0,19
12/31/19 15:30,1,0,112,0,118,0,62,1,20
12/31/19 16:00,0,0,112,0,118,0,62,0,20
12/31/19 16:30,0,0,112,0,118,0,62,0,20
12/31/19 17:00,0,0,112,0,118,0,62,0,20
12/31/19 17:30,1,0,112,1,119,0,62,0,20
12/31/19 18:00,0,0,112,0,119,0,62,0,20
12/31/19 18:30,5,2,114,3,122,0,62,0,20
12/31/19 19:00,13,3,117,6,128,4,66,0,20
12/31/19 19:30,10,1,118,7,135,1,67,1,21
12/31/19 20:00,3,1,119,1,136,1,68,0,21
12/31/19 20:30,7,4,123,3,139,0,68,0,21
12/31/19 21:00,4,1,124,2,141,1,69,0,21
12/31/19 21:30,5,3,127,2,143,0,69,0,21
12/31/19 22:00,4,2,129,2,145,0,69,0,21
12/31/19 22:30,10,2,131,5,150,3,72,0,21
12/31/19 23:00,6,0,131,1,151,3,75,2,23
12/31/19 23:30,0,0,131,0,151,0,75,0,23
1/1/20,0,0,131,0,151,0,75,0,23
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

